words,meanings,sets
metaphorical,figurative,13
mimic,imitate,13
numinous,having strong religious or spiritual quality,13
obscure,not discovered or known about/ abstruse,13
overt,done or shown openly,13
perpetuate,make (something) continue indefinitely,13
rational,based on or in accordance with reason or logic,13
scathing,scornful/ harm,13
"pernicious, subtle",delicately complex/ making use of clever and indirect methods to achieve something; having a harmful effect especially in a gradual way,"13, 18"
acquiesce,accept something reluctantly without protest,14
adroit,clever or skillful,14
"animosity, animus",hostility or ill feeling/ motivation to do something; strong hostility,"14, 21"
apologist,a person who offers an argument in defense of something controversial/ defender,14
astringent,sharp or severe in manner or style/ causing the contraction of skin cells and other body tissues,14
collaborate,work jointly on an activity or project/ corporate,14
competent,efficient and capable,14
correlate,"correspond, connect",14
deride,ridicule,14
dictate,an order or principle that must be obeyed/ give orders,14
divorced,separate from something typically with an undesirable effect,14
elitist,demonstrating a superior attitude or behavior associated with an elite,14
flummoxed,bewildered or perplexed,14
fruitful,"fertile, productive",14
inborn,"natural to a person, or animal",14
polymath,a person of wide knowledge or learning,14
reticent,"reserved, not revealing one's feelings readily",14
stringent,"strict, precise and exacting",14
subservient,"prepared to obey others unquestioningly, subordinate",14
tantalizing,torment or teasing with the sight or promise of something unobtainable,14
tantamount,equivalent in seriousness to; virtually the same as,14
torpor,"a state of physical or mental inactivity, lethargy",14
trenchant,vigorous or incisive in expression or style,14
umbrage,offense or annoyance,14
versatile,adoptable to many different functions or activities,14
"obdurate, obstinate, wayward",difficult to control or predict because of willful or perverse behavior; stubbornly refusing to change one's opinion or course of action; very difficult to change or overcome,"14, 22, 30"
apathy,"lack of interest, enthusiasm or concern",15
apropos,with reference to; concerning/very appropriate to a particular situation,15
"apt, pertinent","relevant to a particular matter, apposite; suitable in the circumstances/ having a tendency to do something/ quick to learn",15
consensus,a general agreement,15
distort,pull or twist out of shape/give an misleading or false account of or impression of,15
divergent,tending to be different or develop in different directions,15
elated,make someone ecstatically happy,15
"enchant, enthrall","capture the fascinated attention of, charm, enchant; fill someone with great delight/ put under a spell","15, 21"
entrenched,"(of an attitude, habit or belief) firmly established and difficult or unlikely to change; ingrained",15
exotic,organizing in or characteristic of a distant foreign country/ attractive/ specially produced,15
exploitative,treating others unfairly in order to gain an advantage,15
foreseeable,able to foreseen or predicted,15
forsake,"abandon, renounce",15
gratify,give someone pleasure or satisfaction,15
heed,pay attention to/ take notice of,15
"foolhardy, heady, judicious","having, showing or done with good judgment; intoxicating / having a strong or exhilarating effect; recklessly bold or harsh","15, 17, 27"
propriety,conformity to conventionally accepted standards of behavior/ the condition of being right,15
scintillation,shining brightly/ brilliantly clever,15
"arresting, sensational",causing great public interest and excitement; eye-catching /seize/ attract the attention/ stop or check,"15, 22"
sophisticated,"having, revealing or involving a great deal of worldly experience and knowledge of fashion or culture",15
strife,angry or bitter disagreement over fundamental issues,15
understated,presented or expressed in a subtle and effective way,15
unscrupulous,having or showing no moral principles; not honest or fair,15
veracity,conformity to facts; accuracy/ habitual truthfulness,15
violate,"(of a substance) easily evaporated at normal temperatures / liable to change rapidly and unpredictably, especially for the worse",15
antedate,precede in time/ come before in date,16
"banish, relegate",assign an inferior rank or position to; send someone away from a country as an official punishment/ get rid of,"16, 27"
"bridle, curb, inhibit",prevent/ make someone self-conscious/ forbid to function; restrain or check on something; used to control movement/ show one's anger,"16, 23"
comply,act in accordance with a wish or command,16
crestfallen,sad and disappointed,16
curtain,piece of material/ a disastrous outcome,16
elucidate,make something clear/ explain,16
feckless,"lacking initiative or strength of character, irresponsible",16
fester,"(of wound) become septic, (of feeling) become worse,",16
iconoclastic,criticizing cherished beliefs or institutions,16
immure,enclose or confine against their will,16
"extemporize, improvise","create and perform spontaneously or without prep/ make from whatever is available; improvise, ad lib","16, 30"
inscrutable,impossible to understand or interpret,16
lionize,give a lot of public attention and approval to someone,16
peculiar,strange/ particular; special/ belonging exclusively to,16
premeditate,think out or plan beforehand,16
refine,remove impurities/ make minor changes to improve,16
ruminate,think deeply about something,16
skittish,"(of animal) easily scared, (of person) unpredictable, playfully frivolous",16
superfluous,"unnecessary, especially through being more than enough/ surplus, redundant",16
synoptic,of or forming general summary/ taking or involving a comprehensive mental views,16
visionary,thinking about or planning the future with imagination,16
acclaim,praise enthusiastically and publicly,17
ascertain,"find (something) out for certain, make sure of",17
assertive,having or showing a confident and forceful personality,17
bogus,not genuine or true,17
cataclysmic,large-scale and violent,17
circumscribe,restrict (something) within limits,17
complementary,combining in such a way as to enhance or emphasize the qualities of each other or another,17
contentious,"controversial, quarrelsome",17
disingenuous,not candid or sincere/ typically pretending that one,17
divulge,make known (private or sensitive info)/ disclose/ reveal,17
dogmatic,inclined to law down principles as underlying true/ highly opinionated,17
fallacious,based on a mistaken belief,17
impugn,"dispute the truth, call into question/ challenge",17
incessant,continuing without pause or interruption,17
inclined,sloping/ willing to do something/ make someone disposed to do something,17
inveterate,long-established and unlikely to change,17
miserly,of or characteristic by of a miser/(quantity) pitiably small/ inadequate,17
"manifest, patent","government authority or license/ easily recognizable; obvious/ demonstrate/ become apparent through the appearance of a symptoms, (of ghost) appear","17, 20"
pithy,"(of plant) containing much pith, (of language or style) terse and vigorously expressive",17
sanctimonious,making a show of being morally superior to other people/ self-righteous,17
"profound, sound",not damaged/ good judgment/ competent/ an idea or impression conveyed by words; very great or intense/ showing great knowledge,"17, 23"
tarnish,make or become less valuable or respected,17
tepid,lukewarm/ showing little enthusiasm,17
vexation,"the state of being annoyed, frustrated or worried",17
abet,encourage or assist someone to do something wrong,18
accessible,able to be reached or entered,18
acquisitive,excessively interested in acquiring money or materials,18
amalgamate,combine or unite to form one organization or structure,18
attenuate,"reduce the force, effect or value of",18
augment,"make something greater by adding to it, increase",18
blithe,showing a casual and cheerful indifference considered to be callous or improper,18
"contempt, scorn, spurn",contempt/ refuse to do something because one is to proud; reject with disdain or contempt; the feeling that a person or a thing is worthless or beneath consideration,"18, 30"
dawdle,"waste time, be slow",18
discount,regard as being unworthy of consideration,18
"dissident, heterodox",in opposition of official policy/ dissenting; not conforming with accepted or orthodox standards or beliefs,"18, 22"
efficacious,"successful in producing a desired result, effective",18
equitable,fair and impartial,18
"erratic, fickle, mercurial","changing frequently especially as regard one's loyalties or affections/ capricious; not even or regular in pattern or movement, unpredictable; subject to sudden or unpredictable changes of mood or mind","18, 24, 26"
industrious,diligent and hardworking,18
inform,give facts or information,18
manacle,shackles/ handcuffs,18
modest,"not large, elaborate or expensive/ self-deprecating",18
noxious,"harmful, poisonous or very unpleasant",18
predicament,"a difficult, unpleasant or embarrassing situation",18
"adept, proficient",competent or skilled in doing or using something prolix – (of speech or writing) using or containing too many words; tediously lengthy; very skilled at something,"18, 25"
subordinate,of less or secondary importance,18
"indecorous, unseemly","improper, unseemly; not proper or appropriate","18, 30"
veritable,"used for emphasis, often to quality a metaphor",18
acolyte,an assistant or follower,19
anoint,rubbing with oil/ choose as successor to or leading candidate for a position,19
"base, radical","far-reaching, thorough, revolutionary; use as the foundation or starting point of something/ sordid, improper, low",19
coercion,the action or practice of persuading someone to do something by using force or threat,19
coin,"invent, create/ money",19
cunning,skill in achieving one's ends by deceit,19
discomfort,make someone feel uneasy or embarrassed,19
dissent,disagreement,19
distill,purify / extract the essential meaning or most important aspects of,19
dubious,"hesitating/ not to be relied upon, morally suspect",19
ebullient,cheerful and full of energy,19
facetious,treating serious issues with deliberately inappropriate humor; flippant,19
fallible,capable of making mistakes or being wrongs,19
gawky,nervously awkward and ungainly,19
"cajole, inveigle, wheedle",persuade someone to do something by means of deception or flattered; persuade to do something by flattery; use flattery or coaxing in order to persuade someone to do something or give one something,"19, 27"
jettison,abandon or discard/ throw or drop,19
mendacity,untruthfulness,19
"lavish, munificent",characterized by great generosity; very generous or extravagant/ rich,"19, 26"
naive,"showing lack of experience, innocent",19
noble,belonging by rank/ high moral principles/superior quality,19
prime,of first importance/ most suitable/ hey-day,19
recrudescence,the recurrence of an undesirable condition,19
temporal,"secular, worldly, non-spiritual",19
abreast,side by side and facing the same way,20
digression,a temporary departure from the main subject in speech or writing,20
discrepancy,an illogical or surprising lack of compatibility or inconsistency,20
duplicitous,"deceitful, (law) containing more than one allegation",20
expedient,convenient and practical although possibly improper or immoral,20
fabricate,invent in order to deceive/ construct or manufacture especially from prepared component,20
"glum, morose","looking or feeling dejected, morose, gloomy; sullen and ill-tempered","20, 26"
harbinger,a person or thing that announces or signals the approaches of another,20
intrinsic,"belonging naturally, essential",20
largess,generosity in bestowing money or gifts,20
malfeasance,"wrongdoing, especially by a public official",20
minute,insignificant/ (of investigation) taking the smaller points into consideration/ summarized record,20
modish,following what is currently popular and fashionable,20
nascent,just coming into existence and beginning to display signs of future potential,20
perennial,everlasting/ permanently engaged in a specified role or way of life,20
pious,devoutly religious/hypocrite/ (of a hope) sincere but not likely to be fulfilled,20
providential,occurring at a favorable time/ involving divine foresight or providence,20
prowess,expertise in a particular activity or field/ bravery in battle,20
schism,split between strongly opposed sections or parties,20
stalwart,"loyal, reliable and hardworking",20
supplicate,ask or beg something earnestly or humbly,20
tirade,a long angry speech of criticism or accusation,20
vanquish,"defeat thoroughly, conquer",20
woeful,very bad/ causing sorrow or misery,20
abject,experienced or present to the maximum degree (of bad) extremely unpleasant and degrading,21
amicable,characterized by friendliness,21
aver,"state or assert to the case, declare/ allege as fact in a support of a plea(LAW context)",21
barrage,"overwhelming number of questions, criticisms etc",21
cathartic,providing psychological belief through the open expression of strong emotions,21
decipher,succeed in understanding interpreting or identifying,21
delusion,deception misleading / mental disorder,21
dispense,supply or release/ get rid of,21
eloquent,clearly expressing or indicating something,21
eradicate,destroy completely,21
fortitude,courage in pain or adversity,21
fortuitous,happening by chance rather than intention,21
goad,provoke or annoy someone as the stimulate on action,21
imminent,about to happen,21
incontrovertible,not able to be denied or disputed,21
itinerant,traveling from place to place,21
magnanimous,generous or forgiving,21
meritorious,deserving reward or praise,21
mutiny,open rebellion against the proper authorities,21
paradoxical,seemingly absurd or self-contradicting,21
perseverance,persistence in doing something despite difficulty,21
"relent, render, yield",become less severe and intense; produce or provide/ surrender/ give way under force or pressure; provide/ make/ cause to become/ represent/ translate/ perform/ melt down/ cover,"21, 25"
repertoire,collection/ stock of skills or types of behavior that a person habitually does,21
resilient,able to withstand or recover quickly from difficulty conditions,21
resolute,"admirably purposeful, determined",21
supple,flexible/ easily manipulated,21
valor,great courage in the face of danger,21
unprecedented,never done or known before,22
extrapolate,estimate or conclude something by extrapolating,22
liability,state of being responsible/ a person whose presence or behavior likely to put one at a disadvantage,22
euphoric,characterized by feeling intense excitement,22
elementary,most basic kind/ straightforward and uncomplicated,22
gaffe,an unintentional act or remark causing embarrassment,22
economy,careful management and available resources,22
qualm,"uneasy feeling of doubt/ misgiving, doubt",22
implicit,suggested though not directed expressed expressed/ always to be found in/ absolute,22
phlegmatic,unemotional and stolidly calm disposition/ self-controlled,22
foment,instigate or stir up,22
inviolate,free or safe from injury or violation,22
renege,"go back on a promise, undertaking, or contact",22
vivacious,attractively lively and animated,22
histrionic,dramatic behavior designed to attract attention,22
prodigious,remarkably great in extent size or degree,22
tentative,"provisional/ not certain or fixed, hesitant",22
falter,lose strength or momentum/ move hesitantly,22
intermittent,"sporadic, not continuous or steady",23
allusive,using or containing suggestion rather than explicit mention,23
glib,fluent but insincere and shallow,23
lull,make someone feel deceptively secure or confident/ calm,23
mettlesome,"full of spirit and courage, lively",23
astute,shrewd,23
"fawn, grovel","crawl, behave obsequiously; give a servile display of exaggerated flattery or affection","23, 30"
repercussion,unintended consequence of an event or action,23
regress,return to a former or less developed state,23
refute,"disprove, deny or contradict",23
replenish,"fill something up again, restore",23
ire,anger,23
languid,having or showing disinclination for physical effort/ weak from illness or fatigue,23
duress,"threats, violence, constraint or other action used to coerce someone into doing something",23
vigilant,keeping careful watch for possible danger and difficulties,23
headstrong,energetically willful and determined,23
convalescent,recovering from illness or medical treatment,23
nonplussed,so surprised and confused that one is unsure how to act,23
fret,visibly anxious / gradually wear away by rubbing / flow in waves,23
"decry, excoriate",criticize severely / remove part of the surface of skin; publicly denounce,"23, 27"
recourse,source of help in difficult situation/ legal right to demand compensation,23
commence,begin,23
exorcise,completely remove from one's mind or memory(unpleasant),24
finicky,"fussy about their needs, greater attention to detail",24
assail,attack/ trouble/ criticize strongly,24
contravene,offend against the prohibition/ conflict with,24
reiterate,"repeat, typically for emphasis or clarity",24
poignant,keen sense of sadness or regret,24
inundate,overwhelm with things or people to be dealt with flood,24
oblivion,unaware,24
ironclad,covered or protected with iron,24
plaintive,sounding sad and mournful,24
escalate,"increase rapidly, make more intense or serious",24
foil,prevent from succeeding/ frustrate the efforts,24
"aberrant, deviate","depart from an established course; deviant, transgressing","24, 30"
buoyant,cheerful and optimistic/ (economy) engaged in successful trade on activity / floating,24
intertwine,connect or link closely/ twist or twine together,24
"berate, lambaste",criticize harshly; scold or criticize angrily,"24, 27"
quiescent,in a state or period of inactivity or dormancy,24
despotic,"of or typical of a despot, tyrannical/ autocratic",24
perpetrate,"carry out or commit(harmful, illegal or immoral action)",24
subsume,include or absorb in something else,24
subside,"become less intense, violent or severe/go down to a lower or the normal level",24
condone,accept (behavior that is considered morally wrong),24
tangential,relating to or along a tangent/ diverging from a previous course or line,24
jeopardize,"threaten, endanger",24
disinterested,unbiased,24
buttress,support/ increase the strength of or justification for,24
bereft,deprived of or lacking (something)/ sad and lonely,25
frailty,weak and delicate/ weakness in character or morals,25
disentangle,free from something that they are entangled with,25
pomposity,the quality of being pompous; self-importance,25
delineate,describe or portray precisely/ indicate the exact,25
conclusive,(of evidence or argument) having or likely to have the effort of proving a case,25
"verve, vitality","the state of being strong and active; energy; vigor, buoyancy","25, 30"
steadfast,"resolutely or dutifully firm and unwavering, loyal",25
archetype,a very typical example of a certain person or thing,25
grievance,unfair treatment,25
harangue,a lengthy and aggressive speech,25
auspicious,"conductive to success, favorable",25
appropriate,proper/ seize/ devote to a special purpose,25
rhetoric,the art of effective or persuasive speaking or writing,25
"collude, conspire",cooperate in a secret or unlawful way in order to deceive or gain an advantage over others; make secret plans jointly,"25, 29"
proxy,the authority to represent someone else,25
sparse,"thinly dispersed or scattered, in short supply",25
adverse,"preventing success, harmful",25
exhort,strongly encourage or urge,25
poise,"graceful, composure and dignity of manner",25
rigor,a sudden feeling of cold with shivering accompanied by a rise in temperature,25
articulate,ability to speak fluently/ jointed segments,25
suspect,doubt the genuineness,25
captious,tending to find fault or raise petty objections,25
lugubrious,looking or sending sad and dismal,26
transcend,go beyond the range/ surpass,26
flustered,make (someone) agitated or confused,26
incidental,occurring by chance/ happening as a result/ less important,26
axiomatic,self-evident or unquestionable,26
macabre,disturbing because concerned with or causing a fear of death,26
gullible,"easily persuaded to believe something, credulous",26
ingrained,firmly fixed or established/ difficult to change,26
tacit,"understood or implied without being stated, implicit",26
exorbitant,unreasonably high (of price or amount),26
treatise,a written work dealing formally and systematically with a subject,26
corporeal,"relating to a person's body especially as opposed to their spirit, (law) consisting of material objects",26
figurative,"departing from a literal use of words, metaphorical",26
ramification,a complex or unwelcome consequence of an action,26
eclectic,"deriving ideas, style or taste from a broad and diverse range of sources",26
apprehensive,anxiety or fear that something bad will happen,26
idiosyncratic,peculiar or individual,26
doctrinaire,"dogmatic, rigid seeking to impose a doctrine in all circumstances without regard to practical considerations",26
officious,intrusively enthusiastic in offering help or advice/ interfering,26
cease,come or bring to an end,26
conductive,having the property of conducting something,26
equanimity,"calmness and composure, especially in a difficult situation",26
lampoon,"publicly criticize someone by using ridicule, irony or sarcasm",26
bombastic,"high-sounding but with little meaning, inflated",27
undercut,offer goods or services at a lower price than competitor,27
euphemism,polite term/ coy term,27
turpitude,depraved of wicked behavior or character,27
peccadillo,a relatively minor fault or sin,27
antagonistic,cause to become hostile,27
barren,unproductive/ infertile/ lifeless,27
philistine,hostile or indifferent to culture and arts,27
imperturbable,"unable to be upset or excited, calm",27
curmudgeon,"a bad-tempered person, especially an old one",27
swindle,use deception to deprive (someone) of money or possessions,27
miscreant,a person who has done something wrong or unlawful,27
implacable,unable to be appeased or placated,27
estimable,worthy of great respect,27
chary,"wary, cautiously or suspiciously reluctant to do something",27
repugnant,unacceptable / in conflict or incompatible with,27
xenophobic,having or showing a dislike against people from other counties/ racist,27
squander,waste in a reckless manner,27
unalloyed,pure/ complete and unreserved,27
propitious,giving or indicating a good chance of success; favorable,29
ominous,giving the impression that something bad or unpleasant is going to happen; threatening; inauspicious,29
detente,"the easing of hostility or strained relations, especially between countries",29
abscond,"leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft; run away; flee; make a break for it; disappear; sneak away",29
imbroglio,"an extremely confused, complicated, or embarrassing situation",29
languish,"weaken, deteriorate, waste away, be disregarded, experience hardship",29
nimble,quick and light in movement or action; agile; (of the mind) quick to comprehend,29
prurient,having or encouraging an excessive interest in sexual matters,29
bawdy,dealing with sexual matters in a comical way; humorously indecent,29
croon,"hum or sing in a soft, low voice, especially in a sentimental manner",29
nadir,the lowest point in the fortunes of a person or organization,29
dowdy,(of a person or their clothes) unfashionable and without style in appearance (typically used of a woman),29
sadistic,"deriving pleasure from inflicting pain, suffering, or humiliation on others",29
echelon,"level, rank, position (MILITARY)",29
depose,"remove from office suddenly and forcefully; (LAW) testify to or give (evidence) on oath, typically in a written statement",29
apogee,the highest point in the development of something; a climax or culmination,29
ennui,a feeling of listlessness and dissatisfaction arising from a lack of occupation or excitement,29
conviction,"declaration (or pronouncement) of guilt, sentence, judgement; a firmly held belief, the quality of showing that one is firmly convinced of what one believes or says",29
conflagration,an extensive fire which destroys a great deal of land or property,29
chagrin,distress or embarrassment at having failed or been humiliated,29
contretemps,a minor dispute or disagreement; an unexpected and unfortunate occurrence,29
commiserate,"offer sympathy to, be moved by, condole with",29
zenith,the time at which something is most powerful or successful,29
fulcrum,"the point on which a lever rests or is supported and on which it pivots; a thing that plays a central or essential role in an activity, event, or situation",29
expatiate,speak or write at length or in detail,29
jocund,cheerful and lighthearted,29
fraught,(fraught with) (of a situation or course of action) filled with or likely to result in (something undesirable); causing or affected by anxiety or stress,29
slovenly,"(appearance) messy and dirty; careless, excessively casual",30
factious,"divided, schismatic, argumentative",30
remuneration,payment; earnings,30
bravado,a bold manner or a show of boldness intended to impress or intimidate,30
obstreperous,noisy and difficult to control,30
temerity,excessive confidence or boldness; audacity,30
odious,extremely unpleasant; repulsive,30
deportment,a person's behavior or manners,30
precocious,"advanced, ahead, old beyond one's years",30
intrigue,the secret planning of something illicit or detrimental,30
fallow,"uncultivated, unplowed, inactive, dormant",30
gratuitous,"uncalled for, unwarranted, given or done free of charge",30
soliloquy,interior monologue,30
stolid,"impassive, calm, dull",30
capitulate,"surrender, give in, yield, concede defeat",30
cogitate,"think about, muse on",30
nominal,"token, tiny",30
plucky,"brave, intrepid",30
feint,"bluff, ruse, expedient",30
